t,x,y,vx,vy,r,theta,omega
271400,-182675134.106204,-60917164.14558741,4853.791718768368,-10837.392589962012,192814261.33738828,62.978448759942495,0.0003770968131528214
271600,-181665561.28034893,-63071699.09471935,5047.8641292753955,-10772.674745659715,192564548.93946615,63.053984584277224,0.0003776791216736339
271800,-180617230.72757298,-65212777.91230539,5241.652763879717,-10705.394087930217,192302926.08797982,63.12959896055574,0.0003780718813925736
272000,-179530201.20749107,-67339884.26917884,5435.147600409537,-10635.531784367224,192029399.93328366,63.20525239860253,0.0003782671902339592
272200,-178404533.59400284,-69452497.88488191,5628.338067441183,-10563.068078515393,191743978.15573928,63.280904450954985,0.0003782602617622565
272400,-177240290.99121776,-71550094.340939,5821.213013925421,-10487.982280285467,191446668.99516225,63.35651435831424,0.0003780495367962855
272600,-176037538.85569614,-73632144.89214052,6013.760677608048,-10410.252756007592,191137481.28205732,63.432041703771624,0.0003776367272869095
272800,-174796345.12526172,-75698116.27576843,6205.968652172147,-10329.856918139569,190816424.47071454,63.507447061971476,0.00037702679099927664
273000,-173516780.3546565,-77747470.51869817,6397.823853026213,-10246.771214648717,190483508.67424026,63.582692629595634,0.0003762278381207996
273200,-172198917.85832468,-79779664.74231581,6589.312481659016,-10160.971118088228,190138744.70160452,63.657742824280355,0.0003752509734236201
273400,-170842833.86062896,-81794150.96519406,6780.419988478517,-10072.431114391204,189782144.0967889,63.73256484025809,0.00037411007988868164
273600,-169448607.65381926,-83790375.90347572,6971.131034048456,-9981.124691408293,189413719.18012545,63.80712915058043,0.000372821551611686
273800,-168016321.7640928,-85767780.76891926,7161.429448632293,-9887.024327217689,189033483.09192142,63.881409947631475,0.0003714039852552116
274000,-166546062.1261028,-87725801.06456716,7351.298189950045,-9790.101478239503,188641449.8384715,63.955385515675886,0.0003698778402220627
274200,-165037918.26629296,-89663866.37800518,7540.719299049248,-9690.326567190063,188237634.34056354,64.02903853129217,0.00036826507808142105
274400,-163491983.49545562,-91581400.1721883,7729.673854186732,-9587.668970915576,187822052.48459077,64.10235628961259,0.0003665887916020822
274600,-161908355.110933,-93477819.57381807,7918.1419226131,-9482.097008148885,187394721.17638966,64.1753308562311,0.00036487283309257965
274800,-160287134.60890365,-95352535.15926562,8106.1025101468595,-9373.577927237766,186955658.3979294,64.24795914637123,0.0003631414507006171
275000,-158628427.90721965,-97204950.7380453,8293.53350841992,-9262.077893898375,186504883.2669852,64.32024293436841,0.00036141893998588293
275200,-156932345.5792855,-99034463.13385594,8480.411639670763,-9147.561979053142,186042416.0999362,64.39218879768045,0.0003597293165602255
275400,-155199003.0994943,-100840461.96321966,8666.71239895592,-9029.99414681862,185568278.47783512,64.46380800047932,0.00035809601399437415
275600,-153428521.1007654,-102622329.41176279,8852.409993644509,-8909.337242715626,185082493.31590602,64.53511632240293,0.0003565416096180596
275800,-151621025.6447545,-104379440.00819908,9037.477280054518,-8785.55298218146,184585084.93663394,64.6061338382774,0.0003550875793723612
276000,-149776648.50533786,-106111160.39609352,9221.885697083155,-8658.60193947221,184076079.1466195,64.67688465459197,0.0003537540815728338
276200,-147895527.46600243,-107816849.10350393,9405.605196677101,-8528.443537052033,183555503.31738085,64.7473966082627,0.00035255976835367426
276400,-145977806.63180608,-109495856.31061915,9588.604170981755,-8395.036035576126,183023386.4702946,64.81770093280528,0.0003515216227128627
276600,-144023636.75660574,-111147523.6155361,9770.849376001666,-8258.336524584764,182479759.36587796,64.88783189650046,0.000350654818475896
276800,-142033175.5862863,-112771183.79834358,9952.305851597252,-8118.300914037474,181924654.5976242,64.95782641652818,0.0003499726001385736
277000,-140006588.21875918,-114366160.58370942,10132.936837635696,-7974.883926829139,181358106.69061536,65.02772365241316,0.0003494861794249019
277200,-137944047.48153785,-115931768.40219817,10312.703686106579,-7828.039092443741,180780152.2051467,65.09756458151031,0.00034920464548577224
277400,-135845734.3277368,-117467312.1505815,10491.565769005334,-7677.718741916629,180190829.8456103,65.16739155869936,0.0003491348859452292
277600,-133711838.25138076,-118972086.95144004,10669.480381780202,-7523.87400429274,179590180.57489726,65.23724786198935,0.0003492815164498973
277800,-131542557.72295459,-120445377.91239727,10846.40264213085,-7366.454804786183,178978247.7345904,65.3071772253832,0.0003496468169692651
278000,-129338100.6461667,-121886459.88537052,11022.285383939427,-7205.4098648662875,178355077.17123455,65.37722336014443,0.00035023067380616824
278200,-127098684.83694519,-123294597.22627383,11197.079046107548,-7040.686704516528,177720717.36898315,65.44742946556129,0.00035103052708428193
278400,-124824538.52573206,-124669043.55566104,11370.731556065657,-6872.231646936003,177075219.5889369,65.51783773043299,0.0003520413243584877
278600,-122515900.88418917,-126009041.52085672,11543.188207714404,-6699.989825978429,176418638.01550356,65.5884888268167,0.0003532554819185568
278800,-120173022.5774789,-127313822.56018694,11714.391533551385,-6523.905196651062,175751029.91012445,65.65942139807616,0.0003546628562972891
279000,-117796166.34333275,-128582606.6699921,11884.281170730763,-6343.920549025803,175072455.77272862,65.7306715439595,0.0003562507294166751
279200,-115385607.59917311,-129814602.17518152,12052.793720798161,-6159.977525947105,174382979.51129293,65.8022723062933,0.0003580038116689722
279400,-112941635.07860531,-131009005.50417282,12219.862602838995,-5972.016644956444,173682668.61990288,65.8742531598904,0.00035990426798551776
279600,-110464551.49865027,-132165000.96915103,12385.417899775204,-5779.977324891126,172971594.36572593,65.94663951439813,0.0003619317725386609
279800,-107954674.25914158,-133281760.55268233,12549.38619754343,-5583.797917656468,172249831.98532778,66.01945223401586,0.00036406359808863393
280000,-105412336.17576411,-134358443.70182532,12711.690416887357,-5383.415745714936,171517460.89077902,66.09270718322793,0.00036627474606033665
280200,-102837886.24826445,-135394197.13100213,12872.249637498362,-5178.767145884051,170774564.8860183,66.16641480785741,0.00036853812314737686
280400,-100231690.46541598,-136388154.6350195,13030.978914242305,-4969.787520086915,170021232.39395612,66.24057976176348,0.00037082476953041255
280600,-97594132.64837268,-137339436.9137706,13187.789085216516,-4756.411393755352,169257556.69482222,66.31520059028654,0.000373104142615251
280800,-94925615.33409463,-138247151.4102998,13342.58657139024,-4538.572482646172,168483636.176276,66.39026948198992,0.0003753444585169418
281000,-92226560.70057572,-139110392.16407904,13495.273167594505,-4316.203768896126,167699574.5958196,66.46577210025887,0.0003775130913447629
281200,-89497411.53564689,-139928239.68152127,13645.745824644177,-4089.2375872111124,166905481.35606825,66.54168750580403,0.0003795770277258366
281400,-86738632.25116761,-140699760.8259533,13793.896422396401,-3857.6057221601664,166101471.79344982,66.61798818001124,0.0003815033710360518
281600,-83950709.94445232,-141424008.72947833,13939.611533576475,-3621.2395176251907,165287667.48092175,66.69464015733735,0.00038325988663054426
281800,-81134155.50880526,-142100022.729387,14082.772178235262,-3380.069999543232,164464196.54530627,66.77160327257232,0.0003848155761748989
282000,-78289504.79505678,-142726828.33202094,14223.2535687424,-3134.0280131697637,163631193.99985838,66.84883152581315,0.0003861412662041737
